"cmpgn_id","cmpgn_nm","cmpgn_ofer_id","copn_plcy_nm","cnts_prod_id","copn_use_sta_dt","copn_plcy_sta_dt","copn_plcy_end_dt","copn_cnt"
C2600QC,[팝업] B tv 스탠다드+(조합형)_(26.6.16)_3-1차,,,PPV 등,,,,447001
C2600SM,[팝업] 밸류애드팀 STB 교체(26.6.29)_5-2차,,,PPV 등,,,,351800
C2600NA,"26년 5월 B tv+ 할인 연장 캠페인_1주년 5,500원",A1CP1020261000120954,"[가입 유지 선물] B tv+ 월 5,500원 혜택 6개월 자동 연장_5월",PM30000107,"20260726","20260526","20260731",104
C2600TA,[주기성] 26년 7월_B tv+ 비플리_UI 541 이하_쿠폰,A1CP1020261000121366,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),PM30000107,"20260722","20260624","20260731",10
C2600R1,JTBC 월정액 첫달 무료_6월 3차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,PM30000269,"20260627","20260119","20261231",373
C2600WD,통합 월정액 3개월 내내 80% 할인,A1CP1020261000121658,[쿨썸머 특가] 주요 월정액 3개월 내내 80% 할인 (택1),PM30000176,"20260726","20260720","20260731",89
C2600P0,<쉘터> 타겟 프로모션_30%_0604,A1SA1020261000120953,[즉시 할인] 쉘터 30% 할인쿠폰,PPV 등,"20260605","20260526","20260630",154
C2600J7,"지상파 월정액 3개월 내내 5,500원_5월 2차",A1CP1020261000120660,"[온가족특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,,"20260422","20260531",495303
C2600N3,[주기성/쿠폰] <살목지&K-공포상영회> 할인쿠폰 프로모션,A1PR1020261000120873,[K-공포 상영회] 영화 50% 할인,PPV 등,"20260607","20260520","20260609",82
C2600S4,"6월 성인 1+1 프로모션_모바일 (6/21~6/30)",A1SA1020261000121171,"[1+1 앵콜 이벤트] 3,300원 할인 쿠폰 (모바일)",PPV 등,"20260702","20260609","20260731",37
C2600O8,[주기성] 26년 6월_B tv+ 비플리_UI 541 이하_쿠폰,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,"20260610","20260520","20260630",3
C2600P6,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_2,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,"20260615","20260520","20260630",26
C2600NO,<푸틴: 절대 권력의 최후> 할인쿠폰 프로모션,A1SA1020261000120952,"[푸틴: 절대 권력의 최후 런칭] 영화 3,300원 할인",PPV 등,"20260613","20260526","20260630",9
C2600ML,"26년 5월_B tv+ 비플리_UI 541 이상_3차(~5/31)_2",A1CP1020261000120854,[가정의 달] B tv+ 12개월 50% 할인 (~5/31),PM30000107,"20260528","20260507","20260531",23
C2600OB,"26년 6월_B tv+ 비플리_UI 541 이상_1차 쿠폰(~6/7) & 배너(~6/30)_3",A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,"20260616","20260520","20260630",3
C2600NI,<시에라 마드레: 카르텔 전쟁> 할인쿠폰 프로모션,A1SA1020261000120862,"[시에라 마드레: 카르텔 전쟁 런칭] 영화 5,500원 할인",PPV 등,"20260617","20260518","20260630",3
C2600PT,"26년 6월_B tv+ 파격할인_UI 541 이상_3",A1CP1020261000120874,"[파격할인] B tv+ 12개월 월 5,500원 혜택",PM30000107,,"20260520","20260531",319681
C2600LQ,"2605_SPOTV B캐시 프로모션_B캐시 지급",SA102026100000126262,,PPV 등,,,,540
C2600SH,<납치 48시간> 할인쿠폰 프로모션,A1SA1020261000121265,"[납치 48시간 런칭] 영화 3,300원 할인",PPV 등,"20260705","20260616","20260831",14
