"cmpgn_id","cmpgn_nm","cmpgn_ofer_id","copn_plcy_nm","pt_dt","cl","copn_plcy_sta_dt","copn_plcy_end_dt","cnts_prod_id","cnt"
C2600LA,"26년 5월_B tv+ 비플리_UI 541 이상_1차(~5/17)_4(1770)",A1CP1020261000120853,[가정의 달] B tv+ 12개월 50% 할인 (~5/17),"20260516",SMART,"20260507","20260517",PM30000107,126008
C2600J7,"지상파 월정액 3개월 내내 5,500원_5월 2차",A1CP1020261000120660,"[온가족특가] 지상파 월정액 3개월 내내 월 5,500원","20260529",SMART,"20260422","20260531",PM30000150,129405
C2600PN,JTBC 월정액 첫달 무료_6월 2차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,,SMART,"20260119","20261231",PM30000269,151312
C2600LZ,"26년 5월_B tv+ 비플리_UI 541 이상_2차(~5/25)_3(1770)",A1CP1020261000120859,[가정의 달] B tv+ 12개월 50% 할인 (~5/25),"20260525",SMART,"20260515","20260525",PM30000107,42187
C2600LE,"CJ ENM 월정액 3개월 5,500원_5월 3차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260516",SMART,"20260422","20260531",PM30000154,20812
C2600P6,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_2,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,"20260625",SMART,"20260520","20260630",PM30000107,5352
C2600L9,"26년 5월_B tv+ 비플리_UI 541 이상_1차(~5/17)_3(1770)",A1CP1020261000120853,[가정의 달] B tv+ 12개월 50% 할인 (~5/17),"20260513",SMART,"20260507","20260517",PM30000107,941
C2600UW,"26년 7월_B tv+ KBS 이승철 콘서트_UI 541 이상_2",DummyOffer,,,SMART,,,PPV 등,1069490
C2600P5,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_1,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,"20260604",SMART,"20260520","20260630",PM30000107,1468
C2600LE,"CJ ENM 월정액 3개월 5,500원_5월 3차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260521",SMART,"20260422","20260531",PM30000154,928
C2600TI,JTBC 월정액 3개월 70% 할인_7월 2차,A1SA1020261000121374,[쿨썸머 특가] JTBC 월정액 3개월 내내 70% 할인,"20260709",SMART,"20260629","20260731",PM30000269,46397
C2600U8,[팝업] 밸류애드팀 Btv 업_장기(26.7.8)_1-1차,,,,SMART,,,PPV 등,381531
