"cmpgn_id","cmpgn_nm","copn_plcy_num","copn_plcy_nm","cnts_prod_id","prod_nm","copn_yn","cmpgn_svc_cnt","copn_use_cnt","copn_use_sta_dt","toast_yn","toast_cmpgn_cnt","toast_show_cnt","toast_click_cnt","toast_go_cnt","toast_exit_cnt","toast_show_dt","smart_cmpgn_cnt","smart_show_cnt","smart_click_cnt","smart_go_cnt","smart_exit_cnt"
C2600IP,"CJ ENM 월정액 3개월 5,500원_5월 1차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원",PM30000154,CJ ENM 월정액,1,499951,1862,"20260618",1,499951,274092,222615,10321,217083,"20260730",235681,235665,185457,11825,180738
C2600IP,"CJ ENM 월정액 3개월 5,500원_5월 1차",DummyOffer,-,,,1,499405,0,,1,499405,274012,222533,10300,217022,"20260730",0,0,0,0,0
C2600IY,"JTBC 월정액 6개월 약정 3,300원_5월 1차",A1CP1020261000120658,"[온가족특가] JTBC 6개월 약정 기간 내내 월 3,300원",PM30000269,JTBC 월정액,1,499930,381,"20260531",1,499930,318352,236818,11251,230563,"20260730",170264,170250,124905,7762,120971
C2600IY,"JTBC 월정액 6개월 약정 3,300원_5월 1차",DummyOffer,-,,,1,499109,0,,1,499109,318307,236787,11248,230535,"20260730",0,0,0,0,0
C2600IZ,[모바일 B tv] '26년 4월 무비 쿠폰 도미노 앱푸쉬 (Mass),,-,,,0,936525,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600J2,[주기성]26년_5월 조합상품 미시청 고객 캐시 적립,PR102026100000125961,-,,,1,4059,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600J2,[주기성]26년_5월 조합상품 미시청 고객 캐시 적립,PR102026100000125962,-,,,1,4058,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600J5,"지상파 월정액 3개월 내내 5,500원_5월 1차",A1CP1020261000120660,"[온가족특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,지상파 3사 월정액,1,497189,1885,"20260611",0,0,0,0,0,0,,293513,293494,232007,16062,225790
C2600J7,"지상파 월정액 3개월 내내 5,500원_5월 2차",A1CP1020261000120660,"[온가족특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,지상파 3사 월정액,1,497182,1879,"20260731",0,0,0,0,0,0,,268187,268174,210213,14634,204617
C2600JA,<오시리스> 할인쿠폰 프로모션,A1SA1020261000120652,"[오시리스 런칭] 영화 3,300원 할인",,,1,680,334,"20260529",1,680,330,199,0,199,"20260522",405,405,339,31,321
C2600JB,<극장의 시간들> 할인쿠폰 프로모션,A1SA1020261000120746,"[극장의 시간들 런칭] 영화 5,500원 할인",,,1,32,20,"20260529",1,32,14,11,0,11,"20260514",15,15,12,2,12
C2600JD,"2605_무빙 연장 동의_TV팝업_6차",,-,,,0,4499,0,,0,0,0,0,0,0,,0,0,0,0,0
